	Bit_1	Bit_2	Bit_3	Bit_4	Bit_5	Bit_6	Bit_7	Bit_8	Bit_9	Bit_10	Bit_11	Bit_12	Bit_13	Bit_14	Bit_15	Bit_16	Bit_17	Bit_18
259 MDRNd Bves Glut	1228	1581	10053	5978	7093	2158	6683	73069	1624	3879	12505	1143	112927	389	16081	1599	22084	12203
260 MDRNv Crp Glut	3516	3121	12365	15039	17609	4865	4249	114355	5909	8726	32197	2734	193672	648	43109	3113	59499	24868
261 HB Calcb Chol	640	617	3072	11199	8035	717	515	26143	1518	3197	16227	1196	39844	233	10510	2188	39104	11596
262 Pineal Crx Glut	162	120	720	1743	1144	175	65	29340	1074	1505	3217	157	11387	192	2351	750	4978	6206
263 CS-RPO Meis2 Gaba	1269	2879	4440	8044	7802	2504	2126	87604	2311	3171	14011	1614	142776	326	18663	2280	25826	12325
264 PRNc Otp Gly-Gaba	1485	3421	5666	21908	14006	1904	2991	84098	2427	5154	24775	1525	123980	321	21514	2495	42183	27875
265 PB Sst Gly-Gaba	1412	3155	9160	11900	11198	2563	5355	76653	3206	5743	21044	1811	154641	378	22459	2092	39904	17469
266 PRNc Prox1 Brs3 Gly-Gaba	1239	3802	4525	8128	8646	1269	2246	51152	1777	3553	14919	1651	113671	272	18354	1715	26185	13644
267 CS-PRNr-PCG Tmem163 Otp Gaba	1128	2222	5799	9590	9418	1853	3305	68031	2098	4088	16943	1572	153424	284	21172	2107	30159	14650
268 CS-PRNr-DR En1 Sox2 Gaba	1627	2071	6453	10245	10119	2187	5399	72395	2826	5046	18800	1752	159882	380	24541	2494	34353	16139
269 LDT Fgf7 Gaba	1713	1884	4006	10178	10324	1132	2133	110218	2151	5406	17062	1187	202057	247	18072	2159	31078	14884
270 LDT-DTN Gata3 Nfix Gaba	1369	2164	5197	17955	12190	1444	2191	113394	2912	4839	23342	1772	185003	273	24208	3360	49670	19534
271 NI-RPO Gata3 Nr4a2 Gaba	1774	2757	5771	11534	12199	1857	3620	98372	3587	4657	20291	2057	158689	360	25517	2553	36573	17323
272 LDT-PCG-CS Gata3 Lhx1 Gaba	1549	2440	6303	11053	10789	2146	4214	81366	2617	4816	19385	1677	150097	392	24055	2629	36087	16113
273 PDTg-PCG Pax6 Gaba	1267	2138	4886	9412	8608	1304	1968	87913	2110	3552	15607	1740	137265	201	18655	2066	29289	13501
274 PDTg Otp Shroom3 Gaba	1076	1555	2976	6659	7005	2174	949	65863	1338	2900	11832	1122	137618	190	16400	2480	19154	10505
275 PDTg Otp Olig3 Gaba	1543	3267	2712	7436	8766	3051	3663	152723	2793	3172	13024	1940	116472	339	17040	3261	24887	13016
276 LDT-PCG St18 Gaba	1124	3163	3921	8285	9444	2625	3538	101164	1930	3985	14948	1316	122409	255	19480	1981	26569	13761
277 DTN-LDT-IPN Otp Pax3 Gaba	1100	5272	4372	9373	7529	3450	2073	114888	2275	3562	13413	1165	129333	328	15835	1803	27516	12122
278 NLL Gata3 Gly-Gaba	3091	1763	7333	18185	10843	1532	3084	79449	2984	6352	26036	2032	141674	292	19743	2666	59111	23218
281 POR Gata3 Gly-Gaba	2452	1627	5430	26112	16683	3582	4048	149470	6714	7361	33035	2163	146701	244	29668	3279	71555	28895
